_id,Indikator,Auspragung,Jahr,Raumbezug,Indikatorwert,Basiswert 1,Basiswert 2,Name Basiswert 1,Name Basiswert 2
100,Arbeitslose - Anteil,deutsch,2021,21 Pasing - Obermenzing,2.7,1000.8,36696.5,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
101,Arbeitslose - Anteil,deutsch,2021,22 Aubing - Lochhausen - Langwied,3.3,686.3,21108.5,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
102,Arbeitslose - Anteil,deutsch,2021,23 Allach - Untermenzing,2.4,389.3,16030.8,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
103,Arbeitslose - Anteil,deutsch,2021,24 Feldmoching - Hasenbergl,3.6,898.8,25008,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
104,Arbeitslose - Anteil,deutsch,2021,25 Laim,3.2,827,26113.3,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
105,Arbeitslose - Anteil,deutsch,2020,Stadt München,3.1,22719.5,728059.8,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
106,Arbeitslose - Anteil,deutsch,2020,01 Altstadt - Lehel,2.5,277,11033.5,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
107,Arbeitslose - Anteil,deutsch,2020,02 Ludwigsvorstadt - Isarvorstadt,3.3,947,28295.3,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
108,Arbeitslose - Anteil,deutsch,2020,03 Maxvorstadt,2.8,811,29489.5,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
109,Arbeitslose - Anteil,deutsch,2020,04 Schwabing - West,2.6,935.5,36531.3,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
110,Arbeitslose - Anteil,deutsch,2020,05 Au - Haidhausen,3.1,1037,33684.3,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
111,Arbeitslose - Anteil,deutsch,2020,06 Sendling,3.5,755.3,21450,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
112,Arbeitslose - Anteil,deutsch,2020,07 Sendling - Westpark,3.2,873.8,27706.3,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
113,Arbeitslose - Anteil,deutsch,2020,08 Schwanthalerhöhe,3.4,495.3,14613.5,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
114,Arbeitslose - Anteil,deutsch,2020,09 Neuhausen - Nymphenburg,2.8,1393.8,50512.5,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
115,Arbeitslose - Anteil,deutsch,2020,10 Moosach,3.4,791.3,23540,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
116,Arbeitslose - Anteil,deutsch,2020,11 Milbertshofen - Am Hart,3.7,1076.3,28992.5,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
117,Arbeitslose - Anteil,deutsch,2020,12 Schwabing - Freimann,3,1107.5,36807.3,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
118,Arbeitslose - Anteil,deutsch,2020,13 Bogenhausen,2.6,1106,42321,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
119,Arbeitslose - Anteil,deutsch,2020,14 Berg am Laim,3.9,782.3,20254.3,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
120,Arbeitslose - Anteil,deutsch,2020,15 Trudering - Riem,2.8,997,35867,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
121,Arbeitslose - Anteil,deutsch,2020,16 Ramersdorf - Perlach,4,1855.3,46279.3,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
122,Arbeitslose - Anteil,deutsch,2020,17 Obergiesing - Fasangarten,3.1,794.5,25596.3,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
123,Arbeitslose - Anteil,deutsch,2020,18 Untergiesing - Harlaching,3,806.3,26473.3,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
124,Arbeitslose - Anteil,deutsch,2020,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,3,1297.3,43063,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
125,Arbeitslose - Anteil,deutsch,2020,20 Hadern,2.8,599.8,21318.3,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
126,Arbeitslose - Anteil,deutsch,2020,21 Pasing - Obermenzing,2.8,1013.5,36309,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
127,Arbeitslose - Anteil,deutsch,2020,22 Aubing - Lochhausen - Langwied,3.2,650,20577,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
128,Arbeitslose - Anteil,deutsch,2020,23 Allach - Untermenzing,2.3,371.5,15838,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
129,Arbeitslose - Anteil,deutsch,2020,24 Feldmoching - Hasenbergl,3.6,892.5,25030.5,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
130,Arbeitslose - Anteil,deutsch,2020,25 Laim,3.2,835.3,26477.3,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
131,Arbeitslose - Anteil,deutsch,2019,Stadt München,2.3,16772.5,725699,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
132,Arbeitslose - Anteil,deutsch,2019,01 Altstadt - Lehel,1.9,205,10957.3,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
133,Arbeitslose - Anteil,deutsch,2019,02 Ludwigsvorstadt - Isarvorstadt,2.3,651.3,28287.5,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
134,Arbeitslose - Anteil,deutsch,2019,03 Maxvorstadt,2,603.8,29517,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
135,Arbeitslose - Anteil,deutsch,2019,04 Schwabing - West,1.9,705.3,36533.8,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
136,Arbeitslose - Anteil,deutsch,2019,05 Au - Haidhausen,2,682.3,33457.3,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
137,Arbeitslose - Anteil,deutsch,2019,06 Sendling,2.5,541.8,21550.8,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
138,Arbeitslose - Anteil,deutsch,2019,07 Sendling - Westpark,2.3,630.8,27600,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
139,Arbeitslose - Anteil,deutsch,2019,08 Schwanthalerhöhe,2.5,364.5,14535,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
140,Arbeitslose - Anteil,deutsch,2019,09 Neuhausen - Nymphenburg,2,991.3,50469.8,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
141,Arbeitslose - Anteil,deutsch,2019,10 Moosach,2.6,605.5,23576.3,Arbeitslose (deutsch),Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)
